corpus,tokenizer,lang,n_sentences,tokens,tok_per_word,tok_per_grapheme,tok_per_byte,tok_per_codepoint,tok_per_sentence,cost_vs_eng
flores,gpt2,eng,1012,27044,1.234829,0.204932,0.204730,0.204932,26.723320,1.0000
flores,gpt2,hin,1012,200688,7.826229,2.334749,0.594739,1.529867,198.308300,7.4208
flores,gpt2,ben,1012,259769,13.317390,3.179820,0.744902,1.992231,256.688735,9.6054
flores,gpt2,mar,1012,212471,11.155676,2.646361,0.597650,1.596914,209.951581,7.8565
flores,gpt2,kan,1012,367366,22.817764,4.065087,0.978753,2.661552,363.009881,13.5840
flores,gpt2,tam,1012,420171,25.047452,4.213339,0.996528,2.726064,415.188735,15.5366
flores,gpt2,tel,1012,350748,20.707758,4.580929,0.991763,2.647854,346.588933,12.9695
flores,cl100k,eng,1012,27182,1.241131,0.205977,0.205775,0.205977,26.859684,1.0000
flores,cl100k,hin,1012,129573,5.052958,1.507416,0.383989,0.987750,128.036561,4.7669
flores,cl100k,ben,1012,159888,8.196863,1.957181,0.458488,1.226220,157.992095,5.8821
flores,cl100k,mar,1012,137227,7.205030,1.709184,0.385999,1.031386,135.599802,5.0485
flores,cl100k,kan,1012,240716,14.951304,2.663642,0.641326,1.743978,237.861660,8.8557
flores,cl100k,tam,1012,207768,12.385574,2.083430,0.492767,1.347996,205.304348,7.6436
flores,cl100k,tel,1012,225253,13.298678,2.941907,0.636918,1.700472,222.582016,8.2868
flores,sarvam-1,eng,1012,31422,1.434729,0.238107,0.237872,0.238107,31.049407,1.0000
flores,sarvam-1,hin,1012,35554,1.386499,0.413625,0.105364,0.271032,35.132411,1.1315
flores,sarvam-1,ben,1012,35150,1.802010,0.430269,0.100795,0.269574,34.733202,1.1186
flores,sarvam-1,mar,1012,33666,1.767615,0.419315,0.094697,0.253031,33.266798,1.0714
flores,sarvam-1,kan,1012,38153,2.369752,0.422182,0.101649,0.276417,37.700593,1.2142
flores,sarvam-1,tam,1012,36386,2.169061,0.364867,0.086297,0.236072,35.954545,1.1580
flores,sarvam-1,tel,1012,36209,2.137738,0.472906,0.102383,0.273348,35.779644,1.1523
flores,muril,eng,1012,27581,1.259349,0.209001,0.208795,0.209001,27.253953,1.0000
flores,muril,hin,1012,31924,1.244940,0.371395,0.094607,0.243360,31.545455,1.1575
flores,muril,ben,1012,27613,1.415616,0.338009,0.079182,0.211771,27.285573,1.0012
flores,muril,mar,1012,29332,1.540061,0.365335,0.082507,0.220457,28.984190,1.0635
flores,muril,kan,1012,29382,1.824969,0.325126,0.078281,0.212871,29.033597,1.0653
flores,muril,tam,1012,29204,1.740924,0.292848,0.069264,0.189475,28.857708,1.0588
flores,muril,tel,1012,33190,1.959499,0.433477,0.093847,0.250557,32.796443,1.2034
in22,gpt2,eng,1024,33769,1.332268,0.211534,0.211496,0.211534,32.977539,1.0000
in22,gpt2,hin,1024,245467,8.309367,2.369510,0.596564,1.537551,239.713867,7.2690
in22,gpt2,ben,1024,308031,14.093658,3.246464,0.750247,2.017296,300.811523,9.1217
in22,gpt2,mar,1024,260338,11.694277,2.666578,0.601954,1.613749,254.236328,7.7094
in22,gpt2,kan,1024,460344,24.468162,4.088131,0.978974,2.682579,449.554688,13.6321
in22,gpt2,tam,1024,511872,25.296368,4.211517,0.995904,2.724361,499.875000,15.1580
in22,gpt2,tel,1024,423937,21.228693,4.634559,0.994611,2.673231,414.000977,12.5540
in22,cl100k,eng,1024,34118,1.346037,0.213720,0.213682,0.213720,33.318359,1.0000
in22,cl100k,hin,1024,157315,5.325311,1.518573,0.382326,0.985387,153.627930,4.6109
in22,cl100k,ben,1024,189728,8.680820,1.999621,0.462105,1.242529,185.281250,5.5609
in22,cl100k,mar,1024,169542,7.615758,1.736577,0.392016,1.050934,165.568359,4.9693
in22,cl100k,kan,1024,302094,16.056873,2.682776,0.642437,1.760403,295.013672,8.8544
in22,cl100k,tam,1024,252792,12.492809,2.079891,0.491835,1.345447,246.867188,7.4093
in22,cl100k,tel,1024,272651,13.653030,2.980672,0.639674,1.719263,266.260742,7.9914
in22,sarvam-1,eng,1024,40507,1.598098,0.253741,0.253697,0.253741,39.557617,1.0000
in22,sarvam-1,hin,1024,44522,1.507126,0.429774,0.108203,0.278876,43.478516,1.0991
in22,sarvam-1,ben,1024,43243,1.978541,0.455756,0.105324,0.283199,42.229492,1.0675
in22,sarvam-1,mar,1024,43040,1.933339,0.440848,0.099517,0.266791,42.031250,1.0625
in22,sarvam-1,kan,1024,52779,2.805305,0.468709,0.112241,0.307561,51.541992,1.3030
in22,sarvam-1,tam,1024,48930,2.418087,0.402580,0.095199,0.260422,47.783203,1.2079
in22,sarvam-1,tel,1024,47516,2.379369,0.519454,0.111479,0.299623,46.402344,1.1730
in22,muril,eng,1024,34092,1.345011,0.213557,0.213519,0.213557,33.292969,1.0000
in22,muril,hin,1024,38544,1.304763,0.372068,0.093674,0.241431,37.640625,1.1306
in22,muril,ben,1024,33733,1.543421,0.355526,0.082161,0.220918,32.942383,0.9895
in22,muril,mar,1024,36954,1.659959,0.378511,0.085445,0.229066,36.087891,1.0839
in22,muril,kan,1024,39531,2.101148,0.351059,0.084067,0.230360,38.604492,1.1595
in22,muril,tam,1024,37628,1.859550,0.309591,0.073210,0.200269,36.746094,1.1037
in22,muril,tel,1024,42734,2.139910,0.467176,0.100259,0.269469,41.732422,1.2535
